Price,Address1,Address2,Room,Shower,Car,Size
CONTACT AGENT,"Unit 2/88 Orrong Rd,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"Unit 3/507 South Rd,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,102m
$570 000 -$580 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,83m
$575 000 - $585 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,83m
$575 000 -$580 000,BENTLEIGH EAST VIC 3165,NG,2 Beds,2 Baths,2 Parking,80m
$550 000 - $560 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,81m
$540 000 -$550 000,CARNEGIE VIC 3163,NG,2 Beds,1 Bath,1 Parking,70m
"Private Sale $480,000 - $500,000","101/687 Glen Huntly Road,",CAULFIELD VIC 3162,2 Beds,2 Baths,1 Parking,NG
$610 000 to $620 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,120m
$620 000 - $640 000,BENTLEIGH VIC 3204,NG,2 Beds,2 Baths,1 Parking,30m
AUCTION,"6/784 - 786 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,2 Parking,NG
$570 000 -$580 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,83m
$590 000 - $600 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,84m
$550000,BENTLEIGH VIC 3204,NG,2 Beds,1 Bath,1 Parking,73m
$635K,"5/6 Rosedale Ave,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
$575 000 -$580 000,BENTLEIGH EAST VIC 3165,NG,2 Beds,2 Baths,2 Parking,80m
"$625,000 to $650,000","1/32 Jersey Parade,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
$650 000 - $675 000,BENTLEIGH VIC 3204,NG,2 Beds,2 Baths,1 Parking,82m
$555 000 - $565 000,BENTLEIGH VIC 3204,NG,2 Beds,1 Bath,1 Parking,70m
INSPECTION A MUST,"10/76 East Boundary Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,90m
For Sale,"106/18 Etna Street,",GLEN HUNTLY VIC 3163,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"107/1170 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
$499K View Now,"2/173 McKinnon Road,",MCKINNON VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$587,400","Level 5/1060 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$490,000 - $510,000","315/9 Morton Avenue,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
$640 000 - $650 000,BENTLEIGH EAST VIC 3165,NG,2 Beds,2 Baths,1 Parking,94m
"$675,000 to $685,000","29 Railway Parade,",MURRUMBEENA VIC 3163,2 Beds,1 Bath,1 Parking,NG
$540 000 to $560 000,CARNEGIE VIC 3163,NG,2 Beds,1 Bath,1 Parking,NG
$550 000 to 560 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
$560 000 to $565 000,BENTLEIGH VIC 3204,NG,2 Beds,1 Bath,1 Parking,NG
