Price,Address1,Address2,Room,Shower,Car,Size
"EOI $640,000 - $690,000","8/1031 Heidelberg Road,",IVANHOE VIC 3079,2 Beds,2 Baths,1 Parking,NG
"$680,000-$740,000","8/1 Greville Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,NG
"Auction $850,000 - $900,000","4/186 Darebin Road,",NORTHCOTE VIC 3070,3 Beds,2 Baths,2 Parking,NG
"$750,000 - $820,000","5/13-17 Blackwood Street,",YARRAVILLE VIC 3013,2 Beds,1 Bath,1 Parking,139m
"Auction $600,000 - $650,000","11/837 Park Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,NG
"$600,000 - $650,000","3/101 Barkly Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$490,000 - $539,000","10/4-10 Barry Street,",SEAFORD VIC 3198,3 Beds,1 Bath,1 Parking,NG
"$490,000 - $530,000","1/117 East Road,",SEAFORD VIC 3198,2 Beds,1 Bath,1 Parking,383m
"$550,000 - $600,000","216/284-286 Highett Road,",HIGHETT VIC 3190,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"208/25 Truganini Road,",CARNEGIE VIC 3163,3 Beds,2 Baths,2 Parking,NG
"$370,000 - $400,000","2/15A Koonalda Grove,",DANDENONG NORTH VIC 3175,2 Beds,1 Bath,1 Parking,NG
"Auction $550,000-$600,000","2/33 Hare Street,",FAWKNER VIC 3060,3 Beds,2 Baths,1 Parking,NG
"$475,000 - $520,000","335/111 Punt Road,",WINDSOR VIC 3181,2 Beds,2 Baths,1 Parking,NG
"ESR $450,000-$480,000","3/20 Margaret Street,",FAWKNER VIC 3060,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"4/81 Pickles Street,",PORT MELBOURNE VIC 3207,2 Beds,2 Baths,2 Parking,NG
"$620,000 - $660,000","10/8-10 Sutherland Road,",ARMADALE VIC 3143,2 Beds,1 Bath,1 Parking,80m
"$525,000 - $575,000","4/38 Mitford Street,",ELWOOD VIC 3184,2 Beds,1 Bath, Parking,NG
"$600,000 - $660,000","2/32 Pine Hill Drive,",FRANKSTON VIC 3199,3 Beds,2 Baths,2 Parking,NG
"$800,000 - $880,000","1/1 Station Street,",FAIRFIELD VIC 3078,2 Beds,1 Bath,1 Parking,NG
"$360,000 - $396,000","2/12 Crefden Street,",MAIDSTONE VIC 3012,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"4/341 Moray Street,",SOUTH MELBOURNE VIC 3205,2 Beds,1 Bath,1 Parking,NG
"$680,000 - $730,000","133A Deakin Street,",ESSENDON VIC 3040,2 Beds,1 Bath,1 Parking,NG
"510,000 - 550,000","505/91-93 Nicholson Street,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath, Parking,NG
"$400,000 - $420,000","5/3 Malachite Drive,",TARNEIT VIC 3029,2 Beds,2 Baths,1 Parking,NG
"$640,000 - $690,000","103/13 Acacia Place,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,NG
"$640,000 - $700,000","101/90 Comer Street,",BRIGHTON EAST VIC 3187,2 Beds,1 Bath,2 Parking,NG
"$630,000 - $690,000","113/308 St Kilda Road,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,NG
"$465,000 - $510,000","3/28 David Street,",DANDENONG VIC 3175,2 Beds,1 Bath,2 Parking,228m
"$400,000 - $430,000","13/11 Monckton  Place,",CAROLINE SPRINGS VIC 3023,2 Beds,2 Baths,1 Parking,NG
"$590,000 - $640,000","1/1 Bond Street,",PRESTON VIC 3072,2 Beds,2 Baths,1 Parking,NG
"$700,000 - $770,000","1604/7 Riverside Quay,",SOUTHBANK VIC 3006,2 Beds,1 Bath,1 Parking,NG
"$450,000 - $490,000","6/2 Passfield Street,",BRUNSWICK WEST VIC 3055,2 Beds,1 Bath,1 Parking,NG
"$900,000 - $990,000","2/12 Noel Street,",IVANHOE VIC 3079,2 Beds,2 Baths,1 Parking,NG
"$640,000 -$670,000","602/8 Garden Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,NG
"Private Sale $675,000","11/1086 Lygon Street,",CARLTON NORTH VIC 3054,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"344A Warrigal Road,",CHELTENHAM VIC 3192,3 Beds,1 Bath,2 Parking,NG
"$540,000 - $570,000","222/284-286 Highett Road,",HIGHETT VIC 3190,2 Beds,2 Baths,1 Parking,NG
Contact agent for details,"9/26-28 Broadway,",ELWOOD VIC 3184,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"7/353 Napier Street,",FITZROY VIC 3065,2 Beds,1 Bath, Parking,90m
"$440,000 - $480,000","9/17 Cypress Grove,",DANDENONG NORTH VIC 3175,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $600,000","G03/3-5 St Kilda Road,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$390,000 - $420,000","15/69 Clow Street,",DANDENONG VIC 3175,3 Beds,2 Baths,1 Parking,NG
"$395,000","410/179 Boundary Road,",NORTH MELBOURNE VIC 3051,2 Beds,1 Bath,1 Parking,NG
Auction,"8/1 Burton Avenue,",CLAYTON VIC 3168,3 Beds,2 Baths,2 Parking,NG
"$550,000 - $600,000","3/10 Scott Street,",MORNINGTON VIC 3931,3 Beds,1 Bath,1 Parking,243m
"$455,000 - $475,000","6/3 Stratheden Court,",SYDENHAM VIC 3037,2 Beds,1 Bath,1 Parking,NG
